site_id,feature1,feature2,feature3,feature4
178,1,1,1,0
179,0,1,1,0
180,0,0,1,1
181,0,1,1,0
182,1,1,1,1
183,1,1,1,0
184,0,1,1,1
185,0,1,1,1
186,1,0,1,0
187,1,1,1,1
188,1,0,1,1
189,1,1,0,1
190,1,1,1,1
191,1,1,0,1
192,1,1,1,1
193,1,0,1,0
194,1,0,1,1
195,0,1,1,0
196,0,0,0,0
197,1,0,0,1
198,1,0,0,1
199,0,0,1,0
200,0,1,0,1
201,0,1,0,0
202,1,1,1,0
203,1,1,1,1
204,0,1,1,0
205,1,1,1,1
206,1,1,0,1
207,0,1,1,1
208,0,0,1,1
209,0,0,0,0
210,0,0,1,0
211,1,1,1,1
212,1,1,1,1
213,1,0,0,1
214,1,0,1,1
215,0,0,1,1
216,0,1,1,1
217,0,0,1,1
218,0,0,1,0
219,1,0,1,0
220,0,1,1,1
221,1,1,0,1
222,0,1,1,0
223,0,0,0,0
224,0,0,0,1
225,0,1,1,0
226,0,1,1,0
227,0,1,1,0
228,1,1,0,0
229,0,0,1,0
230,1,1,0,1
231,0,0,0,1
232,0,1,0,0
233,1,1,0,0
234,0,0,0,0
235,1,0,0,0
236,1,0,1,0
237,1,1,0,0
238,0,0,0,1
239,1,0,0,0
240,0,1,1,1
241,0,1,1,1
242,0,0,1,1
243,0,0,1,1
244,0,0,0,0
245,1,0,1,0
246,1,1,0,0
247,0,1,0,0
248,1,1,0,1
249,1,1,0,0
250,0,1,1,0
251,1,1,0,0
252,0,0,0,0
253,0,0,0,1
254,0,1,1,0
255,0,0,1,0
256,0,0,0,0
257,1,1,0,1
258,0,1,1,0
259,1,1,1,1
260,0,0,1,1
261,1,0,0,0
262,1,1,1,1
263,1,0,0,0
264,0,1,0,0
265,1,1,0,1
266,1,1,1,1
267,0,0,0,0
268,0,1,0,0
269,0,1,1,1
270,1,1,1,0
271,1,1,0,0
272,1,0,1,0
273,0,0,1,0
274,1,1,1,0
275,0,0,0,1
276,0,1,0,0
277,1,1,0,0
278,1,1,1,0
279,0,1,1,1
280,0,1,0,0
281,1,1,1,0
282,1,0,1,0
283,1,0,1,0
284,0,0,1,0
285,0,0,1,1
286,0,1,1,0
287,1,0,1,0
288,0,1,1,1
289,0,0,0,1
290,1,0,1,1
291,1,0,0,0
292,0,1,1,0
293,0,1,0,0
294,0,0,1,1
295,1,0,1,0
296,1,0,0,0
297,1,1,0,1
298,0,1,0,0
299,0,0,1,1
300,1,0,1,0
301,0,1,1,0
302,1,0,1,0
303,1,0,0,0
304,0,1,1,0
305,1,1,0,0
306,0,1,1,1
307,1,1,0,1
308,1,1,1,1
309,1,0,0,1
310,0,0,1,1
311,0,1,0,0
312,0,0,1,1
313,0,0,1,1
314,0,1,0,0
